date,domain,status,status_details,pages
2021-12-10,domain4,Excluded,Excluded by ‘noindex’ tag,29641
2021-12-10,domain4,Valid,"Indexed, not submitted in sitemap",23724
2021-12-10,domain4,,"Indexed, though blocked by robots.txt",2
2021-12-10,domain4,Excluded,Not found (404),96
2021-12-10,domain4,Warning,Page indexed without content,0
2021-12-10,domain4,Excluded,Page with redirect,1957
2021-12-10,domain4,Error,Server error (5xx),4
2021-12-10,domain4,Excluded,Soft 404,32
2021-12-11,domain4,Excluded,Alternate page with proper canonical tag,55637
2021-12-11,domain4,Excluded,Crawled - currently not indexed,1165
2021-12-11,domain4,Excluded,Duplicate without user-selected canonical,19
2021-12-11,domain4,,"Duplicate, Google chose different canonical than user",3
2021-12-11,domain4,Excluded,Excluded by ‘noindex’ tag,29641
2021-12-11,domain4,Valid,"Indexed, not submitted in sitemap",23724
2021-12-11,domain4,Warning,"Indexed, though blocked by robots.txt",2
2021-12-11,domain4,Excluded,Not found (404),96
2021-12-11,domain4,Warning,Page indexed without content,0
2021-12-11,domain4,Excluded,Page with redirect,1957
2021-12-11,domain4,Error,Server error (5xx),4
2021-12-11,domain4,Excluded,Soft 404,32
2021-12-13,domain4,Excluded,Alternate page with proper canonical tag,55502
2021-12-13,domain4,Excluded,Crawled - currently not indexed,1567
2021-12-13,domain4,Excluded,Duplicate without user-selected canonical,19
2021-12-13,domain4,Excluded,"Duplicate, Google chose different canonical than user",4
2021-12-13,domain4,Excluded,Excluded by ‘noindex’ tag,29900
2021-12-13,domain4,Valid,,23875
2021-12-13,domain4,Warning,"Indexed, though blocked by robots.txt",1
2021-12-13,domain4,Excluded,Not found (404),106
2021-12-13,domain4,Warning,Page indexed without content,0
2021-12-13,domain4,Excluded,Page with redirect,1937
2021-12-13,domain4,Error,Server error (5xx),4
2021-12-13,domain4,Excluded,Soft 404,32
2021-12-14,domain4,Excluded,Alternate page with proper canonical tag,55502
2021-12-14,domain4,Excluded,Crawled - currently not indexed,1567
2021-12-14,domain4,Excluded,Duplicate without user-selected canonical,19
2021-12-14,domain4,Excluded,"Duplicate, Google chose different canonical than user",4
2021-12-14,domain4,Excluded,Excluded by ‘noindex’ tag,29900
2021-12-14,domain4,Valid,"Indexed, not submitted in sitemap",23875
2021-12-14,domain4,Warning,"Indexed, though blocked by robots.txt",1
2021-12-14,domain4,Excluded,Not found (404),106
2021-12-14,domain4,Warning,Page indexed without content,0
2021-12-14,domain4,Excluded,Page with redirect,1937
2021-12-14,domain4,Error,Server error (5xx),4
2021-12-14,domain4,Excluded,Soft 404,32
2021-12-15,domain4,Excluded,Alternate page with proper canonical tag,55669
2021-12-15,domain4,Excluded,Crawled - currently not indexed,1829
2021-12-15,domain4,Excluded,Duplicate without user-selected canonical,19
